id,carat,cut,color,clarity,depth,table,x,y,z,price
39044,1.4,Premium,H,SI2,61.7,59.0,7.16,7.11,4.38,6321
132500,1.02,Good,D,SI2,61.6,62.0,6.42,6.45,3.96,4676
32732,0.51,Premium,E,SI1,61.2,59.0,5.18,5.15,3.18,1338
129899,1.01,Good,D,SI2,63.1,60.0,6.31,6.32,3.98,4034
184724,1.18,Ideal,I,SI1,62.6,54.0,6.76,6.82,4.25,4631
105092,0.9,Good,D,SI1,63.6,61.0,6.03,6.07,3.84,3808
114416,1.0,Premium,F,VS1,61.2,60.0,6.39,6.35,3.9,6441
100216,2.01,Ideal,I,VS2,62.2,60.0,8.01,7.94,4.96,16626
175153,0.56,Ideal,E,SI1,61.8,57.0,5.29,5.32,3.28,1697
116705,1.7,Premium,I,SI2,62.2,58.0,7.64,7.6,4.74,8736
52054,2.02,Very Good,I,SI2,59.8,60.0,8.15,8.2,4.89,12576
149165,0.35,Premium,D,SI1,61.5,58.0,4.56,4.5,2.79,610
23799,0.32,Premium,H,VS1,61.9,58.0,4.42,4.45,2.75,561
162443,0.52,Ideal,D,SI2,62.4,56.0,5.18,5.16,3.23,1268
160403,0.35,Ideal,F,VS2,61.5,55.0,4.53,4.55,2.79,906
33706,0.53,Premium,E,VS1,60.4,58.0,5.28,5.25,3.18,1932
157797,0.5,Good,F,VS2,63.9,55.0,5.05,5.08,3.23,1436
55892,0.95,Ideal,H,SI2,62.4,57.0,6.25,6.27,3.91,3519
12897,0.76,Ideal,E,VS2,62.0,56.0,5.84,5.81,3.61,2993
128262,0.91,Ideal,E,SI2,61.3,57.0,6.19,6.23,3.8,3991
51271,1.03,Ideal,G,SI1,61.4,57.0,6.52,6.5,3.99,5050
89256,1.12,Ideal,F,VVS1,61.6,56.0,6.75,6.71,4.13,10681
23254,0.71,Ideal,I,VS1,62.0,56.0,5.72,5.75,3.56,2592
142188,0.33,Ideal,D,VS2,62.0,56.0,4.46,4.47,2.77,791
29914,1.02,Premium,F,VS2,61.6,58.0,6.47,6.41,3.97,7154
144330,0.38,Ideal,D,SI2,62.0,56.0,4.66,4.68,2.89,700
14653,1.01,Very Good,F,SI2,63.5,55.0,6.24,6.31,3.99,3903
7270,0.9,Premium,D,SI2,62.7,60.0,6.14,6.09,3.83,3975
51421,0.93,Fair,D,SI1,65.0,56.0,6.23,6.17,4.02,4284
157373,1.03,Premium,E,SI2,61.0,59.0,6.5,6.54,3.99,4326
188065,0.39,Ideal,I,VVS2,62.0,54.9,4.64,4.71,2.9,735
13632,0.4,Good,G,SI1,63.1,62.0,4.65,4.68,2.94,855
64095,1.3,Ideal,G,VS2,61.8,57.0,7.03,7.04,4.35,7587
33618,0.3,Premium,H,SI2,60.8,59.0,4.35,4.32,2.63,422
34296,1.51,Very Good,G,VS2,62.9,59.0,7.21,7.26,4.55,10553
88955,1.13,Ideal,H,SI2,61.4,57.0,6.71,6.67,4.11,4340
20666,0.83,Ideal,E,SI1,62.0,57.0,5.98,6.03,3.72,3360
40211,0.4,Good,J,VS1,63.9,55.0,4.71,4.68,3.0,810
2554,0.57,Very Good,G,SI1,60.5,57.0,5.38,5.35,3.25,1320
133977,0.36,Ideal,F,VS2,62.0,55.0,4.58,4.61,2.84,692
152994,1.02,Ideal,E,SI1,60.4,57.0,6.53,6.58,3.96,7277
89617,0.43,Premium,D,SI1,60.8,58.0,4.91,4.86,2.97,1064
129482,0.56,Ideal,D,SI1,62.7,56.0,5.26,5.29,3.3,1807
107229,0.71,Ideal,G,VVS2,59.9,57.0,5.82,5.85,3.49,3502
109782,1.0,Good,D,SI2,60.4,65.0,6.42,6.44,3.87,4446
3322,1.25,Ideal,H,VS2,61.4,57.0,6.94,6.98,4.27,7217
107245,0.33,Very Good,G,IF,60.2,60.0,4.45,4.49,2.69,891
51721,1.21,Good,H,SI2,63.8,58.0,6.69,6.75,4.28,4958
1240,0.6,Premium,J,SI1,62.6,58.0,5.37,5.41,3.38,1352
23634,0.7,Ideal,G,SI1,61.8,57.0,5.7,5.67,3.51,2010
91896,0.3,Very Good,G,VVS1,63.4,56.0,4.33,4.28,2.72,1013
124788,1.52,Premium,F,SI1,60.5,58.0,7.47,7.45,4.52,11711
89124,0.31,Premium,H,VVS2,62.2,59.0,4.31,4.27,2.67,749
164073,0.32,Ideal,G,VS1,60.8,57.0,4.4,4.42,2.68,645
159121,0.36,Ideal,E,VVS2,61.8,54.0,4.58,4.62,2.84,874
92445,1.26,Ideal,J,VS2,62.3,54.0,6.91,6.95,4.31,5861
158633,0.93,Very Good,E,VS2,62.6,57.0,6.2,6.24,3.89,5201
68094,1.32,Very Good,G,SI2,62.3,57.0,6.99,7.04,4.37,6492
28714,0.56,Ideal,F,VVS1,61.4,56.0,5.36,5.34,3.28,2326
191885,2.03,Ideal,G,VS2,62.2,57.0,8.08,8.14,5.06,17975
109783,1.54,Good,H,SI2,61.1,65.0,7.35,7.31,4.45,5921
27342,1.01,Premium,E,VS2,61.5,62.0,6.45,6.33,3.92,5132
84160,0.71,Very Good,H,VS1,62.8,57.0,5.71,5.69,3.58,2539
157691,0.24,Ideal,G,IF,63.5,57.0,3.95,3.98,2.51,559
75047,1.28,Ideal,H,VS1,61.5,56.0,6.95,7.03,4.31,7733
71780,2.02,Very Good,H,SI2,63.1,56.0,8.01,8.05,5.04,11946
113026,0.91,Very Good,J,VS2,62.9,58.0,6.12,6.17,3.86,3756
62063,0.27,Ideal,E,VS1,61.4,56.0,4.14,4.17,2.55,470
46585,0.26,Ideal,F,VS2,62.4,56.0,4.1,4.13,2.57,598
17586,0.32,Ideal,G,VS2,62.5,57.0,4.33,4.36,2.72,561
97441,2.18,Ideal,I,SI2,62.3,57.0,8.34,8.29,5.18,12317
17098,0.33,Ideal,F,VS2,60.9,56.0,4.52,4.54,2.75,666
76143,0.53,Ideal,E,VS1,62.6,54.0,5.16,5.19,3.24,1881
5338,0.51,Ideal,G,VS2,61.6,54.0,5.15,5.18,3.18,1443
58452,1.54,Premium,D,VS1,62.5,58.0,7.39,7.32,4.61,16776
12140,0.51,Ideal,D,VS2,60.5,56.0,5.16,5.19,3.13,1848
117535,0.53,Ideal,F,VS2,62.3,56.0,5.15,5.16,3.21,1402
86582,1.01,Good,F,VS1,63.8,57.0,6.3,6.36,4.04,7955
163729,0.57,Very Good,F,SI1,62.9,58.0,5.28,5.32,3.32,1350
123243,1.12,Ideal,E,VS2,62.0,54.0,6.66,6.69,4.14,9138
90215,1.08,Very Good,G,IF,62.1,57.0,6.59,6.56,4.08,9322
150554,0.71,Ideal,G,SI1,61.1,57.0,5.76,5.78,3.53,3130
126829,0.31,Premium,I,SI1,61.4,58.0,4.36,4.33,2.67,593
171166,1.11,Ideal,J,SI1,61.4,57.0,6.68,6.7,4.11,5051
21232,0.31,Premium,H,VS1,62.6,58.0,4.3,4.27,2.69,620
124292,0.54,Ideal,G,SI1,61.0,56.0,5.24,5.25,3.2,1409
115412,1.21,Premium,F,SI2,60.4,60.0,6.95,6.91,4.19,4310
89607,0.3,Ideal,H,VVS1,62.6,54.1,4.28,4.31,2.69,600
108295,0.81,Very Good,D,SI2,63.1,57.0,5.96,5.92,3.74,2694
102138,0.3,Premium,D,SI1,62.0,59.0,4.26,4.29,2.65,709
120786,0.9,Good,E,SI2,63.6,59.0,6.05,6.14,3.88,3468
150499,0.4,Premium,E,VVS2,61.7,58.0,4.77,4.74,2.93,1082
70512,0.48,Very Good,G,SI1,61.7,61.0,5.08,5.03,3.11,1031
184139,1.09,Very Good,I,SI1,62.1,63.0,6.49,6.58,4.06,3917
104027,0.71,Ideal,I,VS2,61.9,54.0,5.75,5.77,3.56,2190
22382,0.7,Premium,F,SI1,62.0,62.0,5.72,5.63,3.52,2229
117906,0.91,Ideal,G,SI2,62.5,57.0,6.24,6.13,3.87,3312
119696,0.76,Ideal,F,VS2,61.8,57.0,5.87,5.84,3.62,3181
155407,0.51,Ideal,G,VS2,59.7,57.0,5.19,5.24,3.11,1438
129450,0.37,Ideal,G,VS1,61.6,56.0,4.62,4.65,2.85,851
169346,0.5,Ideal,D,SI1,63.0,55.0,5.08,5.05,3.19,1577
157374,1.28,Premium,D,VVS2,59.3,59.0,7.11,7.08,4.22,8977
154723,1.2,Very Good,I,SI1,64.3,56.0,6.61,6.55,4.28,5866
192487,0.34,Ideal,E,VVS1,60.1,57.0,4.58,4.54,2.74,1084
59343,0.52,Very Good,J,VS2,63.9,59.0,5.07,5.08,3.24,1051
4307,1.11,Premium,D,VVS2,62.8,58.0,6.61,6.56,4.14,12360
110932,0.31,Premium,E,SI1,60.8,58.0,4.4,4.41,2.67,526
46352,1.04,Premium,G,SI2,60.2,59.0,6.58,6.54,3.95,3330
80985,0.5,Ideal,F,SI1,62.2,54.0,5.06,5.1,3.16,1214
25202,0.38,Ideal,G,VS1,62.2,54.0,4.64,4.68,2.89,891
65170,1.0,Very Good,G,VS2,63.1,55.0,6.31,6.39,4.01,5177
1418,0.33,Premium,G,VVS2,60.7,59.0,4.48,4.51,2.73,752
113243,0.7,Ideal,G,SI1,62.6,55.0,5.67,5.7,3.56,2302
119188,0.27,Ideal,F,VS2,61.7,54.0,4.14,4.16,2.56,583
54527,1.02,Premium,G,VS1,62.3,59.0,6.42,6.38,3.99,7032
154561,0.32,Very Good,I,VS2,60.8,56.0,4.43,4.41,2.69,480
111556,1.0,Ideal,G,SI2,62.7,56.0,6.4,6.34,3.99,4484
79119,1.13,Premium,G,VS2,61.1,58.0,6.83,6.71,4.13,7573
173120,0.34,Premium,G,IF,61.8,58.0,4.52,4.5,2.78,1052
102851,1.2,Ideal,E,VS2,62.0,56.0,6.78,6.83,4.22,10556
132490,0.5,Fair,D,SI1,64.9,53.0,5.02,4.89,3.16,1305
90849,1.01,Premium,G,VS2,60.8,59.0,6.5,6.42,3.93,6389
116968,1.53,Very Good,I,VS2,62.9,59.0,7.31,7.34,4.62,9278
190343,1.01,Good,F,SI1,63.1,54.0,6.45,6.51,4.08,4687
162942,1.15,Premium,I,SI1,62.4,58.0,6.72,6.69,4.18,4939
122916,0.71,Very Good,G,VVS1,62.3,58.0,5.68,5.74,3.56,3242
69246,1.53,Premium,H,SI1,62.4,59.0,7.33,7.37,4.6,10574
167041,0.32,Premium,F,VVS1,61.0,58.0,4.42,4.43,2.7,897
148186,0.3,Good,H,SI1,63.5,59.0,4.22,4.26,2.69,421
130465,1.07,Premium,F,SI2,62.2,57.0,6.54,6.5,4.06,3659
108387,1.22,Ideal,F,VVS2,61.3,55.0,6.85,6.9,4.23,12308
21494,0.9,Ideal,F,SI1,61.8,55.0,6.19,6.22,3.83,4785
57037,0.57,Ideal,H,SI1,62.1,56.0,5.32,5.3,3.3,1318
162418,0.41,Ideal,E,SI2,61.2,57.0,4.8,4.83,2.94,647
96156,0.7,Very Good,H,SI1,63.3,59.0,5.59,5.62,3.55,2214
107892,1.24,Ideal,G,VVS2,62.5,56.0,6.86,6.82,4.28,10546
100874,1.52,Premium,I,VS2,61.4,60.0,7.39,7.29,4.52,9185
43824,1.01,Very Good,D,SI2,61.4,62.0,6.34,6.4,3.91,4745
151031,1.01,Good,E,SI2,63.7,58.0,6.38,6.32,4.05,4666
65297,0.33,Ideal,F,VVS2,61.5,57.0,4.43,4.46,2.74,854
2055,0.7,Premium,D,SI2,61.7,60.0,5.75,5.7,3.53,2410
143146,1.0,Good,F,VS2,62.4,61.0,6.34,6.41,3.98,6124
45306,0.32,Premium,H,VS1,62.2,60.0,4.38,4.34,2.71,720
184001,0.9,Ideal,G,SI1,61.8,57.0,6.17,6.24,3.84,4181
189367,0.61,Ideal,G,VS1,60.9,55.0,5.52,5.55,3.37,2292
56091,0.7,Very Good,E,SI2,59.8,59.0,5.75,5.78,3.45,2470
122502,1.6,Ideal,D,VS2,61.4,55.0,7.49,7.52,4.6,10913
167349,0.54,Premium,D,SI1,60.3,58.0,5.34,5.31,3.2,1847
25484,0.73,Ideal,D,VS2,61.6,56.0,5.78,5.81,3.58,4087
102920,0.34,Ideal,G,IF,60.9,57.0,4.5,4.54,2.74,921
70727,0.63,Ideal,H,VVS2,62.1,57.0,5.51,5.48,3.41,2010
76505,2.28,Ideal,H,SI2,62.5,57.0,8.34,8.41,5.21,15426
79626,0.54,Ideal,G,VVS2,61.9,54.0,5.21,5.33,3.26,1873
113685,1.27,Premium,I,VS2,59.9,59.0,7.08,7.03,4.22,5765
103268,0.4,Very Good,H,VS2,63.5,59.0,4.63,4.67,2.96,803
77051,2.0,Premium,I,SI1,61.3,58.0,8.07,7.98,4.93,12840
96846,0.53,Ideal,H,SI1,61.8,57.0,5.18,5.22,3.21,1066
181122,0.59,Ideal,G,SI2,62.4,54.0,5.36,5.39,3.36,1218
184200,0.73,Premium,G,SI1,62.2,57.0,5.74,5.77,3.58,2349
62391,0.71,Good,E,VS2,60.4,65.0,5.73,5.76,3.45,2860
